,host_response_time,host_is_superhost,host_listings_count,host_has_profile_pic,host_identity_verified,has_availability,availability_30,availability_365,review_scores_accuracy,review_scores_cleanliness,reviews_per_month,place,south,verification_count,email_ver,jumio_ver,phone_ver,host_response_rate%,host_acceptance_rate%,days_as_host,days_since_last_rev,days_since_first_rev,minimum_nights,communication_score
3878,within an hour,t,0.0,t,t,t,26,361,4.94,4.88,3.16,Bologna,0,7,1,1,1,100,100,931,87,891,1,4.9350000000000005
2560,within an hour,f,2.0,t,t,t,0,40,4.95,4.93,3.3,Bologna,0,8,1,1,1,100,50,2291,722,1856,1,4.9350000000000005
2368,within a few hours,t,2.0,t,t,t,15,31,4.97,4.88,0.52,Bologna,0,6,1,1,1,90,90,2632,103,1977,1,4.984999999999999
2437,within an hour,t,1.0,t,t,t,8,31,4.88,4.88,1.86,Bologna,0,6,1,1,1,100,100,2047,80,1982,3,4.965
2544,within an hour,t,4.0,t,t,t,23,83,4.82,4.84,0.83,Bologna,0,7,1,1,1,100,100,2960,94,1881,1,4.9
3367,within an hour,t,2.0,t,t,t,0,127,4.96,4.96,1.56,Bologna,0,7,1,0,1,100,100,1869,97,1112,2,4.99
4469,within an hour,f,11.0,t,t,t,0,0,5.0,5.0,0.21,Bologna,0,9,1,1,1,100,99,1651,365,367,1,5.0
3921,within an hour,t,10.0,t,t,t,11,264,5.0,5.0,0.08,Bologna,0,7,1,1,1,100,75,1457,852,865,1,5.0
3347,within a few hours,t,1.0,t,t,t,0,0,4.96,4.96,2.03,Bologna,0,5,1,1,1,100,0,1239,736,1214,3,5.0
2343,within a few hours,f,1.0,t,t,t,17,232,4.79,4.62,0.42,Bologna,0,9,1,1,1,90,50,2181,131,2138,2,4.805
3000,within an hour,t,1.0,t,f,t,17,55,5.0,5.0,0.54,Bologna,0,3,1,0,1,100,100,3252,209,1252,2,5.0
4240,within an hour,t,36.0,t,t,t,15,344,4.77,4.77,1.22,Bologna,0,7,1,1,1,98,100,779,78,615,1,4.86
3118,within an hour,f,1.0,t,t,t,18,352,4.94,4.94,0.41,Bologna,0,7,1,1,1,100,82,1400,148,1395,1,4.970000000000001
4460,within an hour,t,17.0,t,t,t,20,80,5.0,5.0,3.42,Bologna,0,5,1,1,1,98,94,2031,101,312,2,4.904999999999999
4055,within an hour,f,4.0,t,t,t,0,0,5.0,5.0,0.1,Bologna,0,9,1,1,1,100,95,2481,367,367,1,5.0
2094,within an hour,f,7.0,t,t,t,10,100,4.81,4.87,1.37,Bologna,0,8,1,1,1,100,99,2479,572,2444,1,4.825
2235,within an hour,f,0.0,t,t,t,0,0,4.95,4.92,0.87,Bologna,0,5,1,1,1,100,100,2276,1162,2252,2,4.885
2689,within an hour,f,2.0,t,t,t,28,178,4.67,5.0,0.14,Bologna,0,6,1,1,1,100,33,2764,113,1558,1,5.0
2472,within an hour,f,1.0,t,t,t,0,169,4.93,4.91,0.9,Bologna,0,5,1,1,1,100,0,1996,745,1985,2,4.965
3619,within an hour,t,4.0,t,t,t,18,322,4.96,4.96,0.8,Bologna,0,4,1,0,1,100,100,1094,85,1082,1,4.96
2730,within an hour,f,12.0,t,t,t,0,0,3.0,5.0,0.02,Bologna,0,3,1,0,1,100,100,1981,1630,1630,3,5.0
4477,within an hour,f,3.0,t,t,t,27,177,5.0,5.0,1.22,Bologna,0,5,1,1,1,100,90,961,81,222,1,5.0
2304,within an hour,f,2.0,t,f,t,0,0,5.0,5.0,0.1,Bologna,0,3,1,0,1,100,100,2203,1012,2156,3,5.0
3957,within an hour,f,4.0,t,t,t,28,96,4.75,5.0,0.15,Bologna,0,6,1,1,1,100,100,1584,81,891,1,5.0
3003,within an hour,t,1.0,t,t,t,24,359,4.95,4.93,4.13,Bologna,0,4,1,0,1,100,100,1482,85,1179,1,4.985
4489,within a few hours,f,20.0,t,t,t,19,169,4.67,4.33,0.81,Bologna,0,7,1,1,1,97,82,1189,150,186,3,5.0
3079,within a day,t,2.0,t,t,t,0,139,5.0,4.92,0.32,Bologna,0,8,1,1,1,83,63,2610,396,1312,31,5.0
2800,within an hour,f,4.0,t,t,t,0,0,4.4,4.4,0.1,Bologna,0,9,1,1,1,100,100,1647,1307,1545,1,4.5
2843,within a day,t,1.0,t,t,t,0,15,4.96,4.84,1.82,Bologna,0,8,1,1,1,50,100,1634,731,1627,1,4.975
4568,within an hour,f,0.0,t,f,t,0,169,4.78,4.74,4.09,Bologna,0,2,1,0,1,91,86,1184,81,273,2,4.96
2295,within an hour,t,36.0,t,t,t,16,212,5.0,4.89,0.28,Bologna,0,9,1,1,1,100,100,2350,183,1984,2,4.970000000000001
24455,within an hour,t,0.0,t,t,t,0,0,5.0,5.0,0.16,Milan,0,7,1,1,1,100,99,595,438,445,1,5.0
17834,within an hour,f,1.0,t,t,t,13,73,5.0,5.0,0.12,Milan,0,7,1,1,1,100,100,2924,739,1622,2,5.0
22312,within an hour,f,0.0,t,t,t,23,126,4.62,4.56,1.1,Milan,0,5,1,1,1,100,100,1008,366,1002,1,4.71
19338,within an hour,f,2.0,t,t,t,0,0,5.0,3.0,0.02,Milan,0,3,1,0,1,100,100,1801,1412,1412,4,5.0
18070,within a day,f,5.0,t,t,t,0,0,4.82,4.66,0.75,Milan,0,9,1,1,1,100,86,1793,1015,1713,1,4.76
19331,within an hour,t,7.0,t,t,t,12,245,4.94,4.95,2.45,Milan,0,6,1,1,1,100,93,2141,88,1436,1,4.91
24116,within an hour,f,0.0,t,t,t,6,246,5.0,5.0,0.14,Milan,0,7,1,1,1,100,100,1808,463,516,2,5.0
18606,within an hour,f,21.0,t,t,t,0,167,4.95,4.85,0.4,Milan,0,9,1,1,1,100,99,1606,867,1580,2,4.95
25162,within an hour,f,6.0,t,t,t,1,241,4.78,5.0,2.7,Milan,0,5,1,1,1,100,100,2269,81,177,2,5.0
